的;de;4.0943253178;1.5765677796
一;yi1;5.6708930974;1.1565212046
是;shi4;7.0225394493;1.0383148737
不;bu4;8.1790606539;0.9209131771
了;le;9.279052283;0.8246655633
在;zai4;10.3173671567;0.6199251118
人;ren2;11.2827212715;0.5708103694
有;you3;12.2036344486;0.5527404604
我;wo3;13.0770261318;0.5369583592
他;ta1;13.9016916951;0.5092142324
这;zhe4;14.7037639291;0.4987157425
个;ge4;15.3236890409;0.4521751067
们;men;15.9282516811;0.4191184289
中;zhong1;16.4990620505;0.3903050736
来;lai2;17.056915583;0.3736914651
上;shang4;17.6096560434;0.3644394609
大;da4;18.1543806496;0.3524634821
为;wei2;18.6913390088;0.335517064
和;he2;19.2135322999;0.3299869463
国;guo2;19.7227465323;0.3258454303
地;de;20.2236916858;0.3210191739
到;dao4;20.7224074283;0.3147236973
以;yi3;21.1930059251;0.3048644705
说;shui4;21.6451810318;0.2949623506
时;shi2;22.0759379787;0.2779244615
要;yao1;22.4950564076;0.2763224275
就;jiu4;22.8935535592;0.2702930955
出;chu1;23.2838586328;0.2634518938
会;hui4;23.6636378269;0.2579646692
可;ke3;24.037329292;0.2546525934
也;ye3;24.404380585;0.2487483231
你;ni3;24.7688200459;0.246129256
对;dui4;25.1324466038;0.2399231834
生;sheng1;25.4849100859;0.2271622081
能;neng2;25.8287572096;0.2242640771
而;er2;26.1642742736;0.2212594882
子;zi3;26.4953475023;0.2197267036
那;na3;26.8253344486;0.2194352368
得;de2;27.1512646316;0.2169898095
于;yu2;27.4771100619;0.2149076822
着;zhao1;27.8007860281;0.2128462263
下;xia4;28.121805202;0.2082985171
自;zi4;28.4379159507;0.2069869164
之;zhi1;28.752639648;0.2057574846
年;nian2;29.0636859024;0.2026975998
过;guo4;29.3685503729;0.2005736129
发;fa1;29.6646186437;0.1948341972
后;hou4;29.9595809943;0.1920435574
作;zuo4;30.2400873144;0.1911887948
里;li3;30.5180117759;0.1904322214
用;yong4;30.7947398798;0.1873480477
道;dao4;31.0710623073;0.1861625426
行;hang2;31.3459134476;0.1855961462
所;suo3;31.6162065431;0.1785658011
然;ran2;31.8802971833;0.1760841989
家;jia1;32.1437490771;0.1751663886
种;zhong3;32.4038697739;0.1683582612
事;shi4;32.6618344431;0.1646136361
成;cheng2;32.9197138428;0.1640958174
方;fang1;33.1743664362;0.1617020686
多;duo1;33.4232961509;0.1601227732
经;jing1;33.672044474;0.1577476288
么;ma;33.9190517481;0.1565512712
去;qu4;34.1651810041;0.1554489685
法;fa3;34.4064245736;0.1530557365
学;xue2;34.646347757;0.1527544509
如;ru2;34.8784028867;0.151698142
都;dou1;35.1055650948;0.1510040995
同;tong2;35.3317159543;0.1468972081
现;xian4;35.5559800314;0.1461690578
当;dang1;35.7778224533;0.1452920735
没;mei2;35.9990819415;0.1448982832
动;dong4;36.2196659916;0.1431422473
面;mian4;36.4393926952;0.1417138532
起;qi3;36.6589917528;0.1394689385
看;kan1;36.8784269896;0.1390797994
定;ding4;37.0967883468;0.1389661067
天;tian1;37.3137781563;0.1384307172
分;fen1;37.5305085396;0.1376178143
还;hai2;37.7454162218;0.1347703281
进;jin4;37.9584174836;0.1296582896
好;hao3;38.1712637099;0.1290541677
小;xiao3;38.383655682;0.1259136645
部;bu4;38.5919541991;0.1244935389
其;qi2;38.8002330784;0.124063057
些;xie1;39.0072199948;0.123637226
主;zhu3;39.2137753956;0.1197566864
样;yang4;39.4195328802;0.1189887437
理;li3;39.6252583241;0.1161366065
心;xin1;39.8279559239;0.1125635541
她;ta1;40.0287848286;0.1111000186
本;ben3;40.2293584415;0.1107863301
前;qian2;40.4264763122;0.1098090893
开;kai1;40.6213105094;0.1088494193
但;dan4;40.8148253542;0.1080318652
因;yin1;41.0068689116;0.1074019042
只;qi2;41.1981099018;0.1065807326
从;cong1;41.3892986966;0.1060231214
想;xiang3;41.5798988732;0.10473736
实;shi2;41.7703310946;0.1034691693
日;ri4;41.9583184056;0.1028056172
军;Jūn;42.1456664533;0.1025384393
者;zhe3;42.3322124505;0.1003787942
意;yi4;42.5183749931;0.100001541
无;wu2;42.7040378045;0.0994465138
力;li4;42.8896339507;0.0991896716
它;ta1;43.0685310111;0.0988506606
与;yu2;43.2470968122;0.0985865834
长;chang2;43.4239138125;0.0981483496
把;ba3;43.5999980114;0.0980780668
机;ji1;43.7756134862;0.0964496768
