的	1	489803
一	2	166396
是	3	139814
在	4	120984
不	5	107418
了	6	102557
有	7	99357
和	8	86775
人	9	81106
這	10	77967
中	11	71491
大	12	69713
為	13	68012
上	14	67837
個	15	65256
國	16	64283
我	17	61492
以	18	60842
要	19	57362
地	20	56325
他	21	55710
時	22	55419
來	23	53984
用	24	53349
們	25	51653
生	26	50590
到	27	50519
作	28	46623
出	29	43766
就	30	43623
分	31	43498
於	32	42647
對	33	42008
成	34	41881
會	35	41861
可	36	40754
主	37	38619
發	38	38502
年	39	38389
動	40	38247
同	41	38226
工	42	37987
也	43	37737
能	44	36979
下	45	36591
過	46	36103
子	47	36040
說	48	35855
產	49	35614
種	50	35049
行	51	34915
而	52	33754
方	53	33578
面	54	33337
後	55	33102
多	56	33033
定	57	32368
學	58	31893
法	59	31810
所	60	31158
民	61	30971
得	62	30715
經	63	30014
十	64	29917
三	65	29373
之	66	29331
進	67	29317
等	68	29061
部	69	28458
度	70	28420
家	71	27961
電	72	27905
力	73	27465
如	74	27113
水	75	26774
化	76	26767
高	77	26021
都	78	25933
自	79	25853
二	80	25850
理	81	25814
起	82	25550
小	83	25324
長	84	24967
物	85	24803
現	86	24651
實	87	24404
加	88	24302
量	89	24288
兩	90	23980
體	91	23974
機	92	23742
還	93	23389
當	94	23328
使	95	22997
點	96	22902
從	97	22644
業	98	22580
本	99	22444
重	100	22312
去	101	22195
把	102	22167
性	103	22038
好	104	22037
應	105	21837
開	106	21588
它	107	21467
合	108	21425
因	109	21334
制	110	21295
由	111	21176
其	112	21091
些	113	20931
然	114	20905
前	115	20805
外	116	20779
天	117	20743
政	118	20507
四	119	20420
日	120	20404
那	121	20332
社	122	20293
義	123	20250
事	124	20170
平	125	20070
形	126	20035
相	127	19837
全	128	19790
裏	129	19731
間	130	19627
樣	131	19551
表	132	19444
與	133	19433
關	134	19202
各	135	19188
新	136	19114
線	137	19039
內	138	18629
數	139	18339
正	140	18231
心	141	18187
反	142	17989
你	143	17828
明	144	17766
看	145	17592
原	146	17518
又	147	17476
麼	148	17457
利	149	17227
比	150	17210
或	151	17124
但	152	17042
質	153	17018
氣	154	16723
第	155	16595
向	156	16590
道	157	16573
命	158	16381
此	159	16270
沒	160	16236
變	161	16231
條	162	15931
只	163	15812
結	164	15708
解	165	15660
問	166	15535
意	167	15534
建	168	15418
月	169	15345
公	170	15339
無	171	15279
軍	172	15119
很	173	15095
情	174	15039
者	175	14965
最	176	14712
立	177	14689
代	178	14688
想	179	14661
已	180	14565
通	181	14562
提	182	14437
直	183	14240
題	184	14110
黨	185	14095
程	186	14070
展	187	14038
五	188	13902
果	189	13899
料	190	13744
象	191	13709
員	192	13617
革	193	13612
位	194	13535
入	195	13449
常	196	13407
文	197	13401
總	198	13328
次	199	13301
品	200	13263
式	201	13253
活	202	13160
設	203	13075
及	204	13071
管	205	13018
特	206	12997
件	207	12992
求	208	12924
老	209	12882
頭	210	12823
基	211	12619
資	212	12554
邊	213	12480
流	214	12369
路	215	12364
級	216	12311
少	217	12267
圖	218	12196
山	219	12193
統	220	12143
接	221	12115
知	222	12083
較	223	12013
將	224	11972
組	225	11963
見	226	11962
計	227	11920
別	228	11902
她	229	11893
手	230	11757
角	231	11737
期	232	11708
根	233	11698
論	234	11693
運	235	11675
農	236	11623
指	237	11520
幾	238	11456
九	239	11430
區	240	11409
強	241	11329
放	242	11326
決	243	11323
西	244	11322
被	245	11311
做	246	11181
必	247	11131
戰	248	11040
先	249	10988
則	250	10885
任	251	10797
取	252	10737
據	253	10714
回	254	10688
給	255	10647
調	256	10629
處	257	10611
隊	258	10590
南	259	10543
色	260	10477
光	261	10427
門	262	10372
即	263	10355
